"Meerhout","https://meerhout.meetingburger.net/?AlleVergaderingen=True/","9 13 3/5 * *"
"Gent","https://ebesluitvorming.gent.be/zittingen/lijst","30 6 5/5 * *"
"Maldegem","http://Maldegem.meetingburger.net/?AlleVergaderingen=True","3 12 3/5 * *"
"Mol","http://Mol.meetingburger.net/?AlleVergaderingen=True","21 15 3/5 * *"
"Olen","https://olen.meetingburger.net/?AlleVergaderingen=True/","27 16 3/5 * *"
"Hoeilaart","https://hoeilaart.meetingburger.net/?AlleVergaderingen=True/","30 22 2/5 * *"
"Hoeselt","https://hoeselt.meetingburger.net/?AlleVergaderingen=True/","0 6 3/5 * *"
"Heusden-Zolder","https://heusden-zolder.meetingburger.net/?AlleVergaderingen=True/","57 21 2/5 * *"
"Drogenbos","http://Drogenbos.meetingburger.net/?AlleVergaderingen=True","18 20 2/5 * *"
"Brugge","https://besluitvorming.brugge.be/zittingen/lijst","0 17 1/5 * *"
"Wommelgem","http://Wommelgem.meetingburger.net/?AlleVergaderingen=True","42 13 4/5 * *"
"Alken","http://Alken.meetingburger.net/?AlleVergaderingen=True","48 14 2/5 * *"
"Herselt","https://herselt.meetingburger.net/?AlleVergaderingen=True/","24 21 2/5 * *"
"Holsbeek","http://Holsbeek.meetingburger.net/?AlleVergaderingen=True","33 6 3/5 * *"
"Kasterlee","http://Kasterlee.meetingburger.net/?AlleVergaderingen=True","51 9 3/5 * *"
"leuven","https://besluitvorming.leuven.be/zittingen/lijst","9 13 2/5 * *"
"Schoten","http://Schoten.meetingburger.net/?AlleVergaderingen=True","6 7 4/5 * *"
"Deerlijk","http://Deerlijk.meetingburger.net/?AlleVergaderingen=True","45 19 2/5 * *"
"Roeselare","https://besluitvorming.roeselare.be/suite-consult/zittingen/lijst","30 11 2/5 * *"
"Keerbergen","https://keerbergen.meetingburger.net/?AlleVergaderingen=True/","24 10 3/5 * *"
"bertem","https://bertem.meetingburger.net/?AlleVergaderingen=True","48 14 4/5 * *"
"Boutersem","https://boutersem.meetingburger.net/?AlleVergaderingen=True/","39 18 2/5 * *"
"Hove","https://hove.meetingburger.net/?AlleVergaderingen=True/","12 8 3/5 * *"
"Antwerpen","https://ebesluit.antwerpen.be/zittingen/lijst","0 6 1/5 * *"
"Meise","http://Meise.meetingburger.net/?AlleVergaderingen=True","15 14 3/5 * *"
"Brasschaat","http://Brasschaat.meetingburger.net/?AlleVergaderingen=True","12 19 2/5 * *"
"Hoogstraten","http://Hoogstraten.meetingburger.net/?AlleVergaderingen=True","6 7 3/5 * *"
"Wemmel","https://wemmel.meetingburger.net/?AlleVergaderingen=True/","30 11 4/5 * *"
"Tielt-Winge","https://tielt-winge.meetingburger.net/?AlleVergaderingen=True","12 8 4/5 * *"
"Kapellen","https://kapellen.meetingburger.net/?AlleVergaderingen=True/","18 9 3/5 * *"
"Hemiksem","http://Hemiksem.meetingburger.net/?AlleVergaderingen=True","51 20 2/5 * *"
"Roosdaal","http://roosdaal.meetingburger.net/?AlleVergaderingen=True","45 19 3/5 * *"
"Riemst","http://Riemst.meetingburger.net/?AlleVergaderingen=True","39 18 3/5 * *"
"Bekkevoort","http://Bekkevoort.meetingburger.net/?AlleVergaderingen=True","0 17 2/5 * *"
"Wezembeek-Oppem","https://wezembeek-oppem.meetingburger.net/?AlleVergaderingen=True/","36 12 4/5 * *"
"Ranst","http://Ranst.meetingburger.net/?AlleVergaderingen=True","33 17 3/5 * *"
"Schelle","https://schelle.meetingburger.net/?AlleVergaderingen=True/","57 21 3/5 * *"
"Lier","http://Lier.meetingburger.net/?AlleVergaderingen=True","30 11 3/5 * *"
"Tremelo","http://Tremelo.meetingburger.net/?AlleVergaderingen=True","18 9 4/5 * *"
"Kraainem","https://kraainem.meetingburger.net/?AlleVergaderingen=True/","57 10 3/5 * *"
"Wellen","http://Wellen.meetingburger.net/?AlleVergaderingen=True","24 10 4/5 * *"
"Asse","http://Asse.meetingburger.net/?AlleVergaderingen=True","21 15 2/5 * *"
"Hulshout","http://Hulshout.meetingburger.net/?AlleVergaderingen=True","45 8 3/5 * *"
"Boortmeerbeek","https://boortmeerbeek.meetingburger.net/?AlleVergaderingen=True/","6 18 2/5 * *"
"Begijnendijk","http://Begijnendijk.meetingburger.net/?AlleVergaderingen=True","27 16 2/5 * *"
"Boechout","http://Boechout.meetingburger.net/?AlleVergaderingen=True","33 17 2/5 * *"
"Schilde","http://Schilde.meetingburger.net/?AlleVergaderingen=True","0 6 4/5 * *"
"Rotselaar","http://Rotselaar.meetingburger.net/?AlleVergaderingen=True","51 20 3/5 * *"
"Houthalen-helchteren","http://Houthalen-Helchteren.meetingburger.net/?AlleVergaderingen=True","39 7 3/5 * *"
"Beersel","http://Beersel.meetingburger.net/?AlleVergaderingen=True","54 15 2/5 * *"
"Malle","http://Malle.meetingburger.net/?AlleVergaderingen=True","36 12 3/5 * *"
"Hasselt","https://ebesluit.hasselt.be/suite-consult/zittingen/lijst","27 9 2/5 * *"
